"","Home.Team","Away.Team","Goals H","Goals A","Probability"
"315","Patriotas","Envigado",4,2,0.00345880873255657
"316","Patriotas","Envigado",4,3,0.000795498870539663
"317","Patriotas","Envigado",4,4,0.0014635779384442
"318","Patriotas","Envigado",4,5,1.7826193006728e-05
"319","Patriotas","Envigado",5,0,0.00385746254082248
"320","Patriotas","Envigado",5,1,0.00259600158031963
"321","Patriotas","Envigado",5,2,0.000928581351596578
"322","Patriotas","Envigado",5,3,0.000231592410521816
"323","Patriotas","Envigado",5,4,4.39033789310365e-05
"324","Patriotas","Envigado",5,5,0.000341071491429043
"325","Petrolera","LaEquidad",0,0,0.17350728494368
"326","Petrolera","LaEquidad",0,1,0.085643897919451
"327","Petrolera","LaEquidad",0,2,0.0230482380631219
"328","Petrolera","LaEquidad",0,3,0.00417835221947331
"329","Petrolera","LaEquidad",0,4,0.000574004858407179
"330","Petrolera","LaEquidad",0,5,6.37196279459276e-05
"331","Petrolera","LaEquidad",1,0,0.193414829186562
"332","Petrolera","LaEquidad",1,1,0.126975826280444
"333","Petrolera","LaEquidad",1,2,0.0314636238959164
"334","Petrolera","LaEquidad",1,3,0.00593747929490647
"335","Petrolera","LaEquidad",1,4,0.000838704939785895
"336","Petrolera","LaEquidad",1,5,9.47498190640869e-05
"337","Petrolera","LaEquidad",2,0,0.116499493353093
"338","Petrolera","LaEquidad",2,1,0.0707745130934077
"339","Petrolera","LaEquidad",2,2,0.0317864022335234
"340","Petrolera","LaEquidad",2,3,0.00438174546081604
"341","Petrolera","LaEquidad",2,4,0.000661694047623262
"342","Petrolera","LaEquidad",2,5,7.92514513289141e-05
"343","Petrolera","LaEquidad",3,0,0.0468391597859442
"344","Petrolera","LaEquidad",3,1,0.0299058115438191
"345","Petrolera","LaEquidad",3,2,0.00987358199366513
"346","Petrolera","LaEquidad",3,3,0.00643207628157849
"347","Petrolera","LaEquidad",3,4,0.000369674613428454
"348","Petrolera","LaEquidad",3,5,4.90540460195844e-05
"349","Petrolera","LaEquidad",4,0,0.0141409669266098
"350","Petrolera","LaEquidad",4,1,0.00941135216423855
"351","Petrolera","LaEquidad",4,2,0.0033646811967297
"352","Petrolera","LaEquidad",4,3,0.000839933665537434
"353","Petrolera","LaEquidad",4,4,0.0014863169492472
"354","Petrolera","LaEquidad",4,5,2.41590351340931e-05
"355","Petrolera","LaEquidad",5,0,0.00341935457953141
"356","Petrolera","LaEquidad",5,1,0.00235581402689912
"357","Petrolera","LaEquidad",5,2,0.000910111179590698
"358","Petrolera","LaEquidad",5,3,0.000254935355948234
"359","Petrolera","LaEquidad",5,4,5.55227253891204e-05
"360","Petrolera","LaEquidad",5,5,0.000343683242139057
