"","Home.Team","Away.Team","Goals H","Goals A","Probability","Game"
"403","Cortulua","AmericaDeCali",1,0,0.0834241893296527,12
"404","Cortulua","AmericaDeCali",1,1,0.136682744186503,12
"405","Cortulua","AmericaDeCali",1,2,0.0865994342809812,12
"406","Cortulua","AmericaDeCali",1,3,0.0414262503047574,12
"407","Cortulua","AmericaDeCali",1,4,0.0148310584506947,12
"408","Cortulua","AmericaDeCali",1,5,0.00424013534256721,12
"409","Cortulua","AmericaDeCali",2,0,0.040190403466434,12
"410","Cortulua","AmericaDeCali",2,1,0.0597983198579611,12
"411","Cortulua","AmericaDeCali",2,2,0.0546800726059452,12
"412","Cortulua","AmericaDeCali",2,3,0.0220365543770569,12
"413","Cortulua","AmericaDeCali",2,4,0.00817372517165722,12
"414","Cortulua","AmericaDeCali",2,5,0.00242025200320767,12
"415","Cortulua","AmericaDeCali",3,0,0.0129629459583382,12
"416","Cortulua","AmericaDeCali",3,1,0.0197789493328651,12
"417","Cortulua","AmericaDeCali",3,2,0.0152086011346502,12
"418","Cortulua","AmericaDeCali",3,3,0.0120713479903505,12
"419","Cortulua","AmericaDeCali",3,4,0.00304040970213337,12
"420","Cortulua","AmericaDeCali",3,5,0.000944532121731591,12
"421","Cortulua","AmericaDeCali",4,0,0.00314912582888021,12
"422","Cortulua","AmericaDeCali",4,1,0.00490367794937116,12
"423","Cortulua","AmericaDeCali",4,2,0.00389190273853393,12
"424","Cortulua","AmericaDeCali",4,3,0.00209324909899793,12
"425","Cortulua","AmericaDeCali",4,4,0.00218347703018415,12
"426","Cortulua","AmericaDeCali",4,5,0.000281627363720089,12
"427","Cortulua","AmericaDeCali",5,0,0.000614607206378228,12
"428","Cortulua","AmericaDeCali",5,1,0.000972510516914691,12
"429","Cortulua","AmericaDeCali",5,2,0.000794953825929124,12
"430","Cortulua","AmericaDeCali",5,3,0.000446694318047233,12
"431","Cortulua","AmericaDeCali",5,4,0.000193042271579765,12
"432","Cortulua","AmericaDeCali",5,5,0.000402473538427222,12
